"config","scale","factor","construct","purity","n_items","label","rule","collision_moved","loo_set_size","candidates","top1_hit","set_hit"
"explore_qwen","TMA","MR5","Anxiety",1,4,"gastrointestinal disorder","tier1",FALSE,5,"intestinal disorder; digestive disorder; digestive health; intestinal motility; gastrointestinal disorder",FALSE,FALSE
"cross_fp16","BDI-II","MR1","Depression",1,21,"depression","tier1",FALSE,4,"depression treatment; depression; depressor muscle; psychological disturbance",TRUE,TRUE
"cross_int8","BDI-II","MR1","Depression",1,21,"depression","tier1",FALSE,3,"depression treatment; depression; psychological disturbance",TRUE,TRUE
"cross_rerun","BDI-II","MR1","Depression",1,21,"depression","tier1",FALSE,4,"depression treatment; depression; depressor muscle; psychological disturbance",TRUE,TRUE
"cross_nokeeper","BDI-II","MR1","Depression",1,21,"depression","tier1",FALSE,4,"depression treatment; depression; depressor muscle; psychological disturbance",TRUE,TRUE
"cross_inst2","BDI-II","MR1","Depression",1,21,"depression treatment","top1",FALSE,4,"depression treatment; depressor muscle; depression pill; psychological disturbance",FALSE,FALSE
"cross_inst3","BDI-II","MR1","Depression",1,21,"depression treatment","top1",FALSE,3,"depression treatment; depression pill; decreased perfusion",FALSE,FALSE
"cross_inst4","BDI-II","MR1","Depression",1,21,"depression treatment","top1",FALSE,3,"depression treatment; depressor muscle; depression storage capacity",FALSE,FALSE
"qwen_fp16","BDI-II","MR1","Depression",1,21,"major depressive inventory","top1",FALSE,2,"major depressive inventory; psychological construct",FALSE,FALSE
"qwen_int8","BDI-II","MR1","Depression",1,21,"major depressive inventory","top1",FALSE,2,"major depressive inventory; psychological construct",FALSE,FALSE
"explore_cross","BDI-II","MR2","Depression",1,15,"neuroticism","tier1",FALSE,6,"neuroticism trait; neurotic anxiety state; anxiety state; guilt by association; consciousness of status; neuroticism",FALSE,FALSE
"explore_cross","BDI-II","MR1","Depression",1,6,"reduced sodium salt","top1",FALSE,3,"reduced sodium salt; low social class; decreased locomotion",FALSE,FALSE
"explore_qwen","BDI-II","MR2","Depression",1,15,"neuroticism","tier1",FALSE,3,"neuroticism trait; psychological construct; neuroticism",FALSE,FALSE
"explore_qwen","BDI-II","MR1","Depression",1,6,"low sexual interest","top1",FALSE,1,"low sexual interest",FALSE,FALSE
"cross_fp16","EPI","MR5","Neuroticism",0.595,37,"anxiety reaction","tier1",FALSE,1,"anxiety reaction",FALSE,FALSE
"cross_fp16","EPI","MR1","Sociability",0.444,18,"intrusion countermeasures electronics","top1",TRUE,1,"intrusion countermeasures electronics",FALSE,FALSE
"cross_fp16","EPI","MR4","Extraversion",0.545,11,"extroversion","tier1",FALSE,1,"extroversion",TRUE,TRUE
"cross_fp16","EPI","MR3","Extraversion",0.5,8,"impulsivity","tier1",FALSE,1,"impulsivity",FALSE,FALSE
"cross_fp16","EPI","MR2","Lie",0.6,5,"dishonesty","tier1",FALSE,3,"dishonesty; honesty; risk taking",TRUE,TRUE
"cross_int8","EPI","MR5","Neuroticism",0.595,37,"anxiety reaction","tier1",FALSE,1,"anxiety reaction",FALSE,FALSE
"cross_int8","EPI","MR1","Sociability",0.444,18,"intrusion countermeasures electronics","top1",TRUE,1,"intrusion countermeasures electronics",FALSE,FALSE
"cross_int8","EPI","MR4","Extraversion",0.545,11,"extroversion","tier1",FALSE,1,"extroversion",TRUE,TRUE
"cross_int8","EPI","MR3","Extraversion",0.5,8,"impulsivity","tier1",FALSE,1,"impulsivity",FALSE,FALSE
"cross_int8","EPI","MR2","Lie",0.6,5,"dishonesty","tier1",FALSE,4,"dishonesty; honesty; ethical conflict; risk taking",TRUE,TRUE
"cross_rerun","EPI","MR5","Neuroticism",0.595,37,"anxiety reaction","tier1",FALSE,1,"anxiety reaction",FALSE,FALSE
"cross_rerun","EPI","MR1","Sociability",0.444,18,"intrusion countermeasures electronics","top1",TRUE,1,"intrusion countermeasures electronics",FALSE,FALSE
"cross_rerun","EPI","MR4","Extraversion",0.545,11,"extroversion","tier1",FALSE,1,"extroversion",TRUE,TRUE
"cross_rerun","EPI","MR3","Extraversion",0.5,8,"impulsivity","tier1",FALSE,1,"impulsivity",FALSE,FALSE
"cross_rerun","EPI","MR2","Lie",0.6,5,"dishonesty","tier1",FALSE,3,"dishonesty; honesty; risk taking",TRUE,TRUE
"cross_nokeeper","EPI","MR5","Neuroticism",0.595,37,"anxiety reaction","tier1",FALSE,1,"anxiety reaction",FALSE,FALSE
"cross_nokeeper","EPI","MR1","Sociability",0.444,18,"extroversion","tier1",FALSE,2,"intrusion countermeasures electronics; extroversion",FALSE,FALSE
"cross_nokeeper","EPI","MR4","Extraversion",0.545,11,"extroversion","tier1",FALSE,1,"extroversion",TRUE,TRUE
"cross_nokeeper","EPI","MR3","Extraversion",0.5,8,"impulsivity","tier1",FALSE,1,"impulsivity",FALSE,FALSE
"cross_nokeeper","EPI","MR2","Lie",0.6,5,"dishonesty","tier1",FALSE,3,"dishonesty; honesty; risk taking",TRUE,TRUE
"cross_inst2","EPI","MR5","Neuroticism",0.595,37,"anxiety reaction","tier1",FALSE,3,"anxiety syndromes; health assessment; anxiety reaction",FALSE,FALSE
"cross_inst2","EPI","MR1","Sociability",0.444,18,"intrusion countermeasures electronics","top1",FALSE,2,"intrusion countermeasures electronics; social affinity",FALSE,FALSE
"cross_inst2","EPI","MR4","Extraversion",0.545,11,"extroversion","tier1",FALSE,1,"extroversion",TRUE,TRUE
"cross_inst2","EPI","MR3","Extraversion",0.5,8,"impulsivity","tier1",FALSE,1,"impulsivity",FALSE,FALSE
"cross_inst2","EPI","MR2","Lie",0.6,5,"dishonesty","tier1",FALSE,3,"dishonesty; risk taking; honesty",TRUE,TRUE
"cross_inst3","EPI","MR5","Neuroticism",0.595,37,"anxiety reaction","tier1",FALSE,3,"anxiety syndromes; neurotic anxiety state; anxiety reaction",FALSE,FALSE
"cross_inst3","EPI","MR1","Sociability",0.444,18,"intrusion countermeasures electronics","top1",TRUE,1,"intrusion countermeasures electronics",FALSE,FALSE
"cross_inst3","EPI","MR4","Extraversion",0.545,11,"extroversion","tier1",FALSE,1,"extroversion",TRUE,TRUE
"cross_inst3","EPI","MR3","Extraversion",0.5,8,"impulsivity","tier1",FALSE,1,"impulsivity",FALSE,FALSE
"cross_inst3","EPI","MR2","Lie",0.6,5,"dishonesty","tier1",FALSE,3,"risk taking; honesty; dishonesty",TRUE,TRUE
"cross_inst4","EPI","MR5","Neuroticism",0.595,37,"anxiety reaction","tier1",FALSE,2,"anxiety syndromes; anxiety reaction",FALSE,FALSE
"cross_inst4","EPI","MR1","Sociability",0.444,18,"intrusion countermeasures electronics","top1",FALSE,1,"intrusion countermeasures electronics",FALSE,FALSE
"cross_inst4","EPI","MR4","Extraversion",0.545,11,"extroversion","tier1",FALSE,2,"extroversion; social pleasure",TRUE,TRUE
"cross_inst4","EPI","MR3","Extraversion",0.5,8,"impulsivity","tier1",FALSE,1,"impulsivity",FALSE,FALSE
"cross_inst4","EPI","MR2","Lie",0.6,5,"dishonesty","tier1",FALSE,3,"dishonesty; honesty; risk taking",TRUE,TRUE
"qwen_fp16","EPI","MR5","Neuroticism",0.595,37,"psychosomatic assessment","top1",FALSE,1,"psychosomatic assessment",FALSE,FALSE
"qwen_fp16","EPI","MR1","Sociability",0.444,18,"sociability","tier1",FALSE,3,"social withdrawal; psychology introversion; sociability",TRUE,TRUE
"qwen_fp16","EPI","MR4","Extraversion",0.545,11,"conviviality","tier1",FALSE,2,"social pleasure; conviviality",FALSE,FALSE
"qwen_fp16","EPI","MR3","Extraversion",0.5,8,"impulsiveness","tier1",FALSE,2,"impulsiveness; mental quickness",FALSE,FALSE
"qwen_fp16","EPI","MR2","Lie",0.6,5,"dishonesty","tier1",FALSE,3,"moral courage; dishonesty; test of courage",TRUE,TRUE
"qwen_int8","EPI","MR5","Neuroticism",0.595,37,"psychosomatic assessment","top1",FALSE,1,"psychosomatic assessment",FALSE,FALSE
"qwen_int8","EPI","MR1","Sociability",0.444,18,"sociability","tier1",FALSE,3,"social withdrawal; psychology introversion; sociability",TRUE,TRUE
"qwen_int8","EPI","MR4","Extraversion",0.545,11,"conviviality","tier1",FALSE,2,"social pleasure; conviviality",FALSE,FALSE
"qwen_int8","EPI","MR3","Extraversion",0.5,8,"impulsiveness","tier1",FALSE,2,"impulsiveness; mental quickness",FALSE,FALSE
"qwen_int8","EPI","MR2","Lie",0.6,5,"dishonesty","tier1",FALSE,3,"moral courage; dishonesty; test of courage",TRUE,TRUE
"explore_cross","EPI","MR8","Neuroticism",0.833,24,"anxiety reaction","tier1",FALSE,2,"health assessment; anxiety reaction",FALSE,FALSE
"explore_cross","EPI","MR7","Extraversion",0.462,13,"impulsivity","tier1",FALSE,1,"impulsivity",FALSE,FALSE
"explore_cross","EPI","MR6","Extraversion",0.5,8,"extroversion","tier1",FALSE,1,"extroversion",TRUE,TRUE
"explore_cross","EPI","MR3","Extraversion",0.5,8,"intrusion countermeasures electronics","top1",FALSE,2,"intrusion countermeasures electronics; social informational influence",FALSE,FALSE
"explore_cross","EPI","MR2","Extraversion",0.375,8,"hostility","tier1",FALSE,3,"hostile aggression; cruel lag; hostility",FALSE,FALSE
"explore_cross","EPI","MR4","Sociability",0.429,7,"shyness","tier1",FALSE,2,"social signal; shyness",FALSE,FALSE
"explore_cross","EPI","MR9","Extraversion",0.4,5,"excitement seeking","top1",FALSE,1,"excitement seeking",FALSE,FALSE
"explore_cross","EPI","MR1","Extraversion",0.333,3,"sensational literature","top1",FALSE,2,"sensational literature; risk sharing",FALSE,FALSE
"explore_cross","EPI","MR5","Lie",1,1,"secrecy","tier1",FALSE,2,"forbidden topic; secrecy",FALSE,FALSE
"explore_qwen","EPI","MR8","Neuroticism",0.833,24,"health anxiety","top1",FALSE,3,"health anxiety; psychosomatic assessment; major depressive inventory",FALSE,FALSE
"explore_qwen","EPI","MR7","Extraversion",0.462,13,"impulsiveness","tier1",FALSE,2,"impulsiveness; mental processing speed",FALSE,FALSE
"explore_qwen","EPI","MR6","Extraversion",0.5,8,"conviviality","tier1",FALSE,3,"social pleasure; party motivator; conviviality",FALSE,FALSE
"explore_qwen","EPI","MR3","Extraversion",0.5,8,"love of books","top1",FALSE,1,"love of books",FALSE,FALSE
"explore_qwen","EPI","MR2","Extraversion",0.375,8,"hostile aggression","top1",FALSE,2,"hostile aggression; hostile behavior",FALSE,FALSE
"explore_qwen","EPI","MR4","Sociability",0.429,7,"social phobia","tier1",FALSE,2,"social shyness; social phobia",FALSE,FALSE
"explore_qwen","EPI","MR9","Extraversion",0.4,5,"excitement seeking","top1",FALSE,1,"excitement seeking",FALSE,FALSE
"explore_qwen","EPI","MR1","Extraversion",0.333,3,"daring","tier1",FALSE,4,"test of courage; thrill seeking; moral courage; daring",FALSE,FALSE
"explore_qwen","EPI","MR5","Lie",1,1,"intrusive sexual thoughts","top1",FALSE,1,"intrusive sexual thoughts",FALSE,FALSE
"cross_fp16","OSRI","MR2","Femininity",0.5,20,"opera basic topics","top1",FALSE,4,"opera basic topics; excitement seeking; sensational literature; psychological extraversion",FALSE,FALSE
"cross_fp16","OSRI","MR1","Masculinity",0.75,12,"interest","tier1",FALSE,3,"interest; militarism in japan; military caste",FALSE,FALSE
"cross_int8","OSRI","MR2","Femininity",0.5,20,"opera basic topics","top1",FALSE,4,"opera basic topics; excitement seeking; sensational literature; psychological extraversion",FALSE,FALSE
"cross_int8","OSRI","MR1","Masculinity",0.75,12,"interest","tier1",FALSE,3,"interest; militarism in japan; military caste",FALSE,FALSE
"cross_rerun","OSRI","MR2","Femininity",0.5,20,"opera basic topics","top1",FALSE,4,"opera basic topics; excitement seeking; sensational literature; psychological extraversion",FALSE,FALSE
"cross_rerun","OSRI","MR1","Masculinity",0.75,12,"interest","tier1",FALSE,3,"interest; militarism in japan; military caste",FALSE,FALSE
"cross_nokeeper","OSRI","MR2","Femininity",0.5,20,"opera basic topics","top1",FALSE,4,"opera basic topics; excitement seeking; sensational literature; psychological extraversion",FALSE,FALSE
"cross_nokeeper","OSRI","MR1","Masculinity",0.75,12,"interest","tier1",FALSE,3,"interest; militarism in japan; military caste",FALSE,FALSE
"cross_inst2","OSRI","MR2","Femininity",0.5,20,"opera basic topics","top1",FALSE,5,"opera basic topics; excitement seeking; sensational literature; novelty seeking behavior; personality transfer",FALSE,FALSE
"cross_inst2","OSRI","MR1","Masculinity",0.75,12,"interest","tier1",FALSE,3,"interest; militarism in japan; interest in gambling",FALSE,FALSE
"cross_inst3","OSRI","MR2","Femininity",0.5,20,"excitement seeking","top1",FALSE,5,"excitement seeking; sensational literature; opera basic topics; psychological extraversion; psychological trauma",FALSE,FALSE
"cross_inst3","OSRI","MR1","Masculinity",0.75,12,"interest","tier1",FALSE,3,"interest; militarism in japan; interest in gambling",FALSE,FALSE
"cross_inst4","OSRI","MR2","Femininity",0.5,20,"opera basic topics","top1",FALSE,5,"opera basic topics; excitement seeking; sensational literature; psychological extraversion; personality transfer",FALSE,FALSE
"cross_inst4","OSRI","MR1","Masculinity",0.75,12,"interest","tier1",FALSE,3,"militarism in japan; interest; interest in gambling",FALSE,FALSE
"qwen_fp16","OSRI","MR2","Femininity",0.5,20,"psychological construct","top1",FALSE,1,"psychological construct",FALSE,FALSE
"qwen_fp16","OSRI","MR1","Masculinity",0.75,12,"psychology of war","top1",FALSE,3,"psychology of war; military psychology; interest in sports",FALSE,FALSE
"qwen_int8","OSRI","MR2","Femininity",0.5,20,"psychological construct","top1",FALSE,1,"psychological construct",FALSE,FALSE
"qwen_int8","OSRI","MR1","Masculinity",0.75,12,"psychology of war","top1",FALSE,3,"psychology of war; military psychology; interest in sports",FALSE,FALSE
"explore_cross","OSRI","MR2","Masculinity",0.769,13,"interest","tier1",FALSE,4,"excitement seeking; interest in gambling; sensational literature; interest",FALSE,FALSE
"explore_cross","OSRI","MR1","Femininity",1,7,"self-love","tier1",FALSE,5,"self compassion; self catering; kindness walls; loving relationship; self-love",FALSE,FALSE
"explore_qwen","OSRI","MR2","Masculinity",0.769,13,"sensation seeking","top1",FALSE,5,"sensation seeking; excitement seeking; psychological excitement; psychology of war; military psychology",FALSE,FALSE
"explore_qwen","OSRI","MR1","Femininity",1,7,"embedded generosity","top1",FALSE,2,"embedded generosity; self-expression values",FALSE,FALSE
"cross_fp16","TAS-20","MR2","DIF",1,7,"depersonalisation neurosis","tier1",FALSE,4,"body schema illusion; mental content; somatic theory; depersonalisation neurosis",FALSE,FALSE
"cross_fp16","TAS-20","MR1","DDF",0.5,10,"emotional investment","top1",FALSE,4,"emotional investment; interpersonal contact; emotional computing; willingness to pay",FALSE,FALSE
"cross_fp16","TAS-20","MR3","EOT",1,3,"popular errors","top1",FALSE,3,"popular errors; light ergonomics; reception area",FALSE,FALSE
"cross_int8","TAS-20","MR2","DIF",1,7,"depersonalisation neurosis","tier1",FALSE,4,"body schema illusion; mental content; somatic theory; depersonalisation neurosis",FALSE,FALSE
"cross_int8","TAS-20","MR1","DDF",0.5,10,"emotional investment","top1",FALSE,4,"emotional investment; interpersonal contact; emotional computing; willingness to pay",FALSE,FALSE
"cross_int8","TAS-20","MR3","EOT",1,3,"popular errors","top1",FALSE,3,"popular errors; light ergonomics; reception area",FALSE,FALSE
"cross_rerun","TAS-20","MR2","DIF",1,7,"depersonalisation neurosis","tier1",FALSE,4,"body schema illusion; mental content; somatic theory; depersonalisation neurosis",FALSE,FALSE
"cross_rerun","TAS-20","MR1","DDF",0.5,10,"emotional investment","top1",FALSE,4,"emotional investment; interpersonal contact; emotional computing; willingness to pay",FALSE,FALSE
"cross_rerun","TAS-20","MR3","EOT",1,3,"popular errors","top1",FALSE,3,"popular errors; light ergonomics; reception area",FALSE,FALSE
"cross_nokeeper","TAS-20","MR2","DIF",1,7,"depersonalisation neurosis","tier1",FALSE,4,"body schema illusion; mental content; somatic theory; depersonalisation neurosis",FALSE,FALSE
"cross_nokeeper","TAS-20","MR1","DDF",0.5,10,"emotional investment","top1",FALSE,4,"emotional investment; interpersonal contact; emotional computing; willingness to pay",FALSE,FALSE
"cross_nokeeper","TAS-20","MR3","EOT",1,3,"popular errors","top1",FALSE,3,"popular errors; light ergonomics; reception area",FALSE,FALSE
"cross_inst2","TAS-20","MR2","DIF",1,7,"depersonalisation neurosis","tier1",FALSE,4,"body schema illusion; medicare donut hole; mental content; depersonalisation neurosis",FALSE,FALSE
"cross_inst2","TAS-20","MR1","DDF",0.5,10,"emotional investment","top1",FALSE,4,"emotional investment; emotional computing; interpersonal contact; willingness to pay",FALSE,FALSE
"cross_inst2","TAS-20","MR3","EOT",1,3,"popular errors","top1",FALSE,3,"popular errors; general internal medicine; reception area",FALSE,FALSE
"cross_inst3","TAS-20","MR2","DIF",1,7,"confusion","tier1",FALSE,4,"mental content; medicare donut hole; confusion; identity construction",FALSE,FALSE
"cross_inst3","TAS-20","MR1","DDF",0.5,10,"emotional investment","top1",FALSE,2,"emotional investment; emotional computing",FALSE,FALSE
"cross_inst3","TAS-20","MR3","EOT",1,3,"recreational riding","top1",FALSE,3,"recreational riding; popular errors; light ergonomics",FALSE,FALSE
"cross_inst4","TAS-20","MR2","DIF",1,7,"depersonalisation neurosis","tier1",FALSE,4,"depersonalisation neurosis; body schema illusion; medicare donut hole; mental content",FALSE,FALSE
"cross_inst4","TAS-20","MR1","DDF",0.5,10,"emotional investment","top1",FALSE,4,"emotional investment; emotional computing; interpersonal contact; willingness to pay",FALSE,FALSE
"cross_inst4","TAS-20","MR3","EOT",1,3,"popular errors","top1",FALSE,3,"popular errors; light ergonomics; reception area",FALSE,FALSE
"qwen_fp16","TAS-20","MR2","DIF",1,7,"mixed affective state","top1",FALSE,3,"mixed affective state; bodily distress disorder; emotional instability disorder",FALSE,FALSE
"qwen_fp16","TAS-20","MR1","DDF",0.5,10,"emotional competence","top1",FALSE,2,"emotional competence; emotional intimacy",FALSE,FALSE
"qwen_fp16","TAS-20","MR3","EOT",1,3,"television consumption","top1",FALSE,2,"television consumption; reception theory",FALSE,FALSE
"qwen_int8","TAS-20","MR2","DIF",1,7,"mixed affective state","top1",FALSE,3,"mixed affective state; bodily distress disorder; emotional instability disorder",FALSE,FALSE
"qwen_int8","TAS-20","MR1","DDF",0.5,10,"emotional competence","top1",FALSE,2,"emotional competence; emotional intimacy",FALSE,FALSE
"qwen_int8","TAS-20","MR3","EOT",1,3,"television consumption","top1",FALSE,2,"television consumption; reception theory",FALSE,FALSE
"explore_cross","TAS-20","MR1","DIF",0.467,15,"emotional sensitivity","top1",FALSE,4,"emotional sensitivity; emotional relation; emotional dissonance; disturbed blood flow",FALSE,FALSE
"explore_cross","TAS-20","MR2","EOT",1,5,"need for power","top1",FALSE,2,"need for power; popular errors",FALSE,FALSE
"explore_qwen","TAS-20","MR1","DIF",0.467,15,"emotional self evaluation","top1",FALSE,2,"emotional self evaluation; emotional spectrum disorder",FALSE,FALSE
"explore_qwen","TAS-20","MR2","EOT",1,5,"cognitive style","top1",FALSE,3,"cognitive style; television consumption; analytic thinking",FALSE,FALSE
"cross_fp16","AQ-50","MR4","Attention_Switching",0.4,20,"attentional focusing","top1",FALSE,2,"attentional focusing; focused attention",FALSE,FALSE
"cross_fp16","AQ-50","MR2","Communication",0.385,13,"social degeneracy","top1",FALSE,5,"social degeneracy; social imperialism; social companion system; social emotional agnosia; social signal",FALSE,FALSE
"cross_fp16","AQ-50","MR1","Social_Skills",0.571,7,"sociability","tier1",FALSE,4,"social confidence; social interest; social boldness; sociability",FALSE,FALSE
"cross_fp16","AQ-50","MR3","Imagination",0.714,7,"imagination","tier1",FALSE,2,"imagination inflation; imagination",TRUE,TRUE
"cross_fp16","AQ-50","MR5","Social_Skills",0.667,3,"extracurricular activity","tier1",FALSE,3,"intrusion countermeasures electronics; cultural adaptation; extracurricular activity",FALSE,FALSE
"cross_int8","AQ-50","MR4","Attention_Switching",0.4,20,"attentional focusing","top1",FALSE,2,"attentional focusing; focused attention",FALSE,FALSE
"cross_int8","AQ-50","MR2","Communication",0.385,13,"social degeneracy","top1",FALSE,5,"social degeneracy; social imperialism; social companion system; social emotional agnosia; social signal",FALSE,FALSE
"cross_int8","AQ-50","MR1","Social_Skills",0.571,7,"sociability","tier1",FALSE,4,"social confidence; social interest; social boldness; sociability",FALSE,FALSE
"cross_int8","AQ-50","MR3","Imagination",0.714,7,"imagination","tier1",FALSE,2,"imagination inflation; imagination",TRUE,TRUE
"cross_int8","AQ-50","MR5","Social_Skills",0.667,3,"extracurricular activity","tier1",FALSE,3,"intrusion countermeasures electronics; cultural adaptation; extracurricular activity",FALSE,FALSE
"cross_rerun","AQ-50","MR4","Attention_Switching",0.4,20,"attentional focusing","top1",FALSE,2,"attentional focusing; focused attention",FALSE,FALSE
"cross_rerun","AQ-50","MR2","Communication",0.385,13,"social degeneracy","top1",FALSE,5,"social degeneracy; social imperialism; social companion system; social emotional agnosia; social signal",FALSE,FALSE
"cross_rerun","AQ-50","MR1","Social_Skills",0.571,7,"sociability","tier1",FALSE,4,"social confidence; social interest; social boldness; sociability",FALSE,FALSE
"cross_rerun","AQ-50","MR3","Imagination",0.714,7,"imagination","tier1",FALSE,2,"imagination inflation; imagination",TRUE,TRUE
"cross_rerun","AQ-50","MR5","Social_Skills",0.667,3,"extracurricular activity","tier1",FALSE,3,"intrusion countermeasures electronics; cultural adaptation; extracurricular activity",FALSE,FALSE
"cross_nokeeper","AQ-50","MR4","Attention_Switching",0.4,20,"attentional focusing","top1",FALSE,2,"attentional focusing; focused attention",FALSE,FALSE
"cross_nokeeper","AQ-50","MR2","Communication",0.385,13,"social degeneracy","top1",FALSE,5,"social degeneracy; social imperialism; social companion system; social emotional agnosia; social signal",FALSE,FALSE
"cross_nokeeper","AQ-50","MR1","Social_Skills",0.571,7,"sociability","tier1",FALSE,4,"social confidence; social interest; social boldness; sociability",FALSE,FALSE
"cross_nokeeper","AQ-50","MR3","Imagination",0.714,7,"imagination","tier1",FALSE,2,"imagination inflation; imagination",TRUE,TRUE
"cross_nokeeper","AQ-50","MR5","Social_Skills",0.667,3,"extracurricular activity","tier1",FALSE,3,"intrusion countermeasures electronics; cultural adaptation; extracurricular activity",FALSE,FALSE
"cross_inst2","AQ-50","MR4","Attention_Switching",0.4,20,"attentional focusing","top1",FALSE,3,"attentional focusing; focused attention; attention to orders",FALSE,FALSE
"cross_inst2","AQ-50","MR2","Communication",0.385,13,"social degeneracy","top1",FALSE,5,"social degeneracy; social imperialism; social companion system; social inequalities; double ended control",FALSE,FALSE
"cross_inst2","AQ-50","MR1","Social_Skills",0.571,7,"sociability","tier1",FALSE,3,"social confidence; social interest; sociability",FALSE,FALSE
"cross_inst2","AQ-50","MR3","Imagination",0.714,7,"imagination","tier1",FALSE,3,"imagination inflation; creative impulse; imagination",TRUE,TRUE
"cross_inst2","AQ-50","MR5","Social_Skills",0.667,3,"leisure activity","top1",FALSE,2,"leisure activity; intrusion countermeasures electronics",FALSE,FALSE
"cross_inst3","AQ-50","MR4","Attention_Switching",0.4,20,"focused attention","top1",FALSE,4,"focused attention; attentional focusing; attention to orders; obsessiveness",FALSE,FALSE
"cross_inst3","AQ-50","MR2","Communication",0.385,13,"social inequalities","top1",FALSE,4,"social inequalities; social degeneracy; social emotional agnosia; double ended control",FALSE,FALSE
"cross_inst3","AQ-50","MR1","Social_Skills",0.571,7,"sociability","tier1",FALSE,4,"social confidence; social force; social interest; sociability",FALSE,FALSE
"cross_inst3","AQ-50","MR3","Imagination",0.714,7,"imagination","tier1",FALSE,2,"imagination inflation; imagination",TRUE,TRUE
"cross_inst3","AQ-50","MR5","Social_Skills",0.667,3,"extroversion","tier1",FALSE,4,"intrusion countermeasures electronics; social preferences; leisure activity; extroversion",FALSE,FALSE
"cross_inst4","AQ-50","MR4","Attention_Switching",0.4,20,"attentional focusing","top1",FALSE,3,"attentional focusing; focused attention; attention to orders",FALSE,FALSE
"cross_inst4","AQ-50","MR2","Communication",0.385,13,"social degeneracy","top1",FALSE,4,"social degeneracy; social companion system; social signal; double ended control",FALSE,FALSE
"cross_inst4","AQ-50","MR1","Social_Skills",0.571,7,"sociability","tier1",FALSE,4,"social confidence; social interest; social boldness; sociability",FALSE,FALSE
"cross_inst4","AQ-50","MR3","Imagination",0.714,7,"imagination","tier1",FALSE,4,"imagination inflation; embodied intelligence; creative impulse; imagination",TRUE,TRUE
"cross_inst4","AQ-50","MR5","Social_Skills",0.667,3,"leisure activity","top1",FALSE,3,"leisure activity; cultural adaptation; intrusion countermeasures electronics",FALSE,FALSE
"qwen_fp16","AQ-50","MR4","Attention_Switching",0.4,20,"perceptual vigilance","top1",FALSE,3,"perceptual vigilance; selective attention; focused attention",FALSE,FALSE
"qwen_fp16","AQ-50","MR2","Communication",0.385,13,"social ineptitude","top1",FALSE,2,"social ineptitude; mind blindness",FALSE,FALSE
"qwen_fp16","AQ-50","MR1","Social_Skills",0.571,7,"sociability","tier1",FALSE,2,"social fluency; sociability",FALSE,FALSE
"qwen_fp16","AQ-50","MR3","Imagination",0.714,7,"imaginary play","top1",FALSE,2,"imaginary play; visual imagery",FALSE,FALSE
"qwen_fp16","AQ-50","MR5","Social_Skills",0.667,3,"social preferences","top1",FALSE,3,"social preferences; psychology introversion; artistic interests",FALSE,FALSE
"qwen_int8","AQ-50","MR4","Attention_Switching",0.4,20,"perceptual vigilance","top1",FALSE,3,"perceptual vigilance; selective attention; focused attention",FALSE,FALSE
"qwen_int8","AQ-50","MR2","Communication",0.385,13,"social ineptitude","top1",FALSE,2,"social ineptitude; mind blindness",FALSE,FALSE
"qwen_int8","AQ-50","MR1","Social_Skills",0.571,7,"sociability","tier1",FALSE,2,"social fluency; sociability",FALSE,FALSE
"qwen_int8","AQ-50","MR3","Imagination",0.714,7,"imaginary play","top1",FALSE,2,"imaginary play; visual imagery",FALSE,FALSE
"qwen_int8","AQ-50","MR5","Social_Skills",0.667,3,"social preferences","top1",FALSE,3,"social preferences; psychology introversion; artistic interests",FALSE,FALSE
"explore_cross","AQ-50","MR3","Communication",0.385,13,"social degeneracy","top1",FALSE,5,"social degeneracy; social imperialism; social emotional agnosia; social companion system; social signal",FALSE,FALSE
"explore_cross","AQ-50","MR5","Attention_to_Detail",0.667,12,"attentional focusing","top1",FALSE,3,"attentional focusing; perch pole; intellectual deficit",FALSE,FALSE
"explore_cross","AQ-50","MR6","Social_Skills",0.571,7,"sociability","tier1",FALSE,4,"social confidence; social interest; social boldness; sociability",FALSE,FALSE
"explore_cross","AQ-50","MR4","Imagination",0.625,8,"imagination","tier1",FALSE,3,"imagination; imagination inflation; mental images",TRUE,TRUE
"explore_cross","AQ-50","MR1","Attention_Switching",0.667,3,"restlessness","tier1",FALSE,3,"cognitive perseveration; restlessness; attention theft",FALSE,FALSE
"explore_cross","AQ-50","MR2","Attention_Switching",0.571,7,"excitement seeking","top1",FALSE,3,"excitement seeking; novelty shop; endogenous regeneration",FALSE,FALSE
"explore_qwen","AQ-50","MR3","Communication",0.385,13,"social ineptitude","top1",FALSE,2,"social ineptitude; mind blindness",FALSE,FALSE
"explore_qwen","AQ-50","MR5","Attention_to_Detail",0.667,12,"selective attention","top1",FALSE,4,"selective attention; perceptual vigilance; attention to detail; gestalt perception",FALSE,TRUE
"explore_qwen","AQ-50","MR6","Social_Skills",0.571,7,"sociability","tier1",FALSE,2,"sociability; social fluency",FALSE,FALSE
"explore_qwen","AQ-50","MR4","Imagination",0.625,8,"imaginary play","top1",FALSE,2,"imaginary play; visual imagery",FALSE,FALSE
"explore_qwen","AQ-50","MR1","Attention_Switching",0.667,3,"stress resilience","top1",FALSE,3,"stress resilience; attention switching; emotional stability",FALSE,TRUE
"explore_qwen","AQ-50","MR2","Attention_Switching",0.571,7,"openness to experience","top1",FALSE,3,"openness to experience; individual preference; conscientiousness",FALSE,FALSE
